倩女幽魂,8.6,231628,1987,香港,剧情 爱情 武侠 古装,两张绝世的脸。 
燃情岁月,8.8,143427,1994,美国,剧情 爱情 西部 家庭,传奇，不是每个人都可以拥有。
神偷奶爸,8.5,349417,2010,美国,儿童 喜剧 动画,Mr. I Don't Care其实也有Care的时候。
电锯惊魂,8.7,188425,2004,美国 澳大利亚,犯罪 悬疑 惊悚,真相就在眼前。
谍影重重3,8.7,171241,2007,美国 德国,动作 悬疑 惊悚,像吃了苏打饼一样干脆的电影。
岁月神偷,8.6,292224,2010,香港 中国大陆,剧情 家庭,岁月流逝，来日可追。
七武士,9.2,71770,1954,日本,动作 冒险 剧情,时代悲歌。
借东西的小人阿莉埃蒂,8.7,203923,2010,日本,动画 奇幻 冒险,曾经的那段美好会沉淀为一辈子的记忆。
真爱至上,8.5,294562,2003,英国 美国 法国,喜剧 剧情 爱情,爱，是个动词。
恐怖直播,8.7,198697,2013,韩国,剧情 犯罪 悬疑,恐怖分子的“秋菊打官司”。
雨人,8.6,200251,1988,美国,剧情,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
虎口脱险,8.9,102095,1966,法国 英国,喜剧 战争,永远看不腻的喜剧。
贫民窟的百万富翁,8.5,379353,2008,英国 美国,剧情 爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
东邪西毒,8.6,236032,1994,香港 台湾,剧情 动作 爱情 武侠 古装,电影诗。
记忆碎片,8.5,261723,2000,美国,犯罪 剧情 悬疑 惊悚,一个针管引发的血案。
杀人回忆,8.6,194303,2003,韩国,犯罪 剧情 悬疑 惊悚,关于连环杀人悬案的集体回忆。
疯狂原始人,8.7,351555,2013,美国,喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。
红辣椒,8.8,119095,2006,日本,动画 悬疑 科幻 惊悚,梦的勾结。
怪兽电力公司,8.6,223795,2001,美国,喜剧 动画 儿童 奇幻,不要给它起名字，起了名字就有感情了。
卢旺达饭店,8.8,111263,2004,英国 南非 意大利 美国,剧情 历史 战争,当这个世界闭上双眼，他却敞开了怀抱。
黑天鹅,8.5,394297,2010,美国,剧情 惊悚,黑暗之美。
穿越时空的少女,8.6,175223,2006,日本,剧情 爱情 科幻 动画,爱上未来的你。 
魂断蓝桥,8.8,123361,1940,美国,剧情 战争 爱情,中国式内在的美国电影。
猜火车,8.5,235955,1996,英国,犯罪 剧情,不可猜的青春迷笛。 
恋恋笔记本,8.5,263464,2004,美国,剧情 爱情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
喜宴,8.8,127882,1993,台湾 美国,剧情 喜剧 爱情 同性 家庭,中国家庭的喜怒哀乐忍。
英雄本色,8.7,138402,1986,香港,动作 犯罪,英雄泪短，兄弟情长。 
小森林 夏秋篇,8.9,114178,2014,日本,剧情,无
雨中曲,8.9,88318,1952,美国,喜剧 歌舞 爱情,骨灰级歌舞片。
傲慢与偏见,8.4,282156,2005,法国 英国 美国,剧情 爱情,爱是摈弃傲慢与偏见之后的曙光。
喜剧之王,8.4,284941,1999,香港,喜剧 剧情 爱情,我是一个演员。
教父3,8.7,121037,1990,美国,剧情 犯罪,任何信念的力量，都无法改变命运。
完美的世界,9.0,73798,1993,美国,剧情 犯罪,坏人的好总是比好人的好来得更感人。
纵横四海,8.7,132537,1991,香港,剧情 喜剧 动作 犯罪,香港浪漫主义警匪动作片的巅峰之作。
萤火之森,8.7,143459,2011,日本,剧情 爱情 动画 奇幻,触不到的恋人。
